,week,PortCountry_Benin,PortCountry_Cameroon,PortCountry_CÃ´te dIvoire,PortCountry_Democratic Republic of the Congo,PortCountry_Djibouti,PortCountry_Egypt,PortCountry_Gabon,PortCountry_Ghana,PortCountry_Guinea,PortCountry_Kenya,PortCountry_Liberia,PortCountry_Madagascar,PortCountry_Morocco,PortCountry_Mozambique,PortCountry_Namibia,PortCountry_Republic of the Congo,PortCountry_Senegal,PortCountry_Somalia,PortCountry_South Africa,PortCountry_Tanzania,PortCountry_Togo,EventType_arrival,EventType_departure,VesselTypeGroup_Cargo Vessels,VesselTypeGroup_Dredgers,VesselTypeGroup_Fishing & Research Vessels,VesselTypeGroup_Military,VesselTypeGroup_Offshore Support & Work Vessels,VesselTypeGroup_Passenger & Pleasure Craft,VesselTypeGroup_Specialized Service Vessels,VesselTypeGroup_Tankers,VesselTypeGroup_Tugs & Towage,VesselTypeGroup_Unspecified/Others,VesselFlagRegion_Africa,VesselFlagRegion_Americas,VesselFlagRegion_Asia,VesselFlagRegion_Europe,VesselFlagRegion_Oceania,VesselBuiltYear_1925-1949,VesselBuiltYear_1950-1974,VesselBuiltYear_1975-1999,VesselBuiltYear_2000-2024,VesselAvgArea,VesselAvgGt,VesselAvgSog,sentiment_score,BURADIENE RUBBER,TIN,CRUDE OIL,SILVER,COPPER(BC),STEEL WIRE ROD,LSFO,HOT ROLLED COIL,NICKEL,STEEL REBAR,WOODPULP,FUEL OIL,ALUMINIUM OXIDE,LEAD,STAINLESS STEEL,NATURAL RUBBER,ZINC,TSR20,GOLD,BITUMEN,SCFIS,ALUMINIUM,COPPER,BURADIENE RUBBER_lag1,TIN_lag1,CRUDE OIL_lag1,SILVER_lag1,COPPER(BC)_lag1,STEEL WIRE ROD_lag1,LSFO_lag1,HOT ROLLED COIL_lag1,NICKEL_lag1,STEEL REBAR_lag1,WOODPULP_lag1,FUEL OIL_lag1,ALUMINIUM OXIDE_lag1,LEAD_lag1,STAINLESS STEEL_lag1,NATURAL RUBBER_lag1,ZINC_lag1,TSR20_lag1,GOLD_lag1,BITUMEN_lag1,SCFIS_lag1,ALUMINIUM_lag1,COPPER_lag1,BURADIENE RUBBER_lag2,TIN_lag2,CRUDE OIL_lag2,SILVER_lag2,COPPER(BC)_lag2,STEEL WIRE ROD_lag2,LSFO_lag2,HOT ROLLED COIL_lag2,NICKEL_lag2,STEEL REBAR_lag2,WOODPULP_lag2,FUEL OIL_lag2,ALUMINIUM OXIDE_lag2,LEAD_lag2,STAINLESS STEEL_lag2,NATURAL RUBBER_lag2,ZINC_lag2,TSR20_lag2,GOLD_lag2,BITUMEN_lag2,SCFIS_lag2,ALUMINIUM_lag2,COPPER_lag2,BURADIENE RUBBER_lag3,TIN_lag3,CRUDE OIL_lag3,SILVER_lag3,COPPER(BC)_lag3,STEEL WIRE ROD_lag3,LSFO_lag3,HOT ROLLED COIL_lag3,NICKEL_lag3,STEEL REBAR_lag3,WOODPULP_lag3,FUEL OIL_lag3,ALUMINIUM OXIDE_lag3,LEAD_lag3,STAINLESS STEEL_lag3,NATURAL RUBBER_lag3,ZINC_lag3,TSR20_lag3,GOLD_lag3,BITUMEN_lag3,SCFIS_lag3,ALUMINIUM_lag3,COPPER_lag3
36,2024-09-16 to 2024-09-22,85,55,126,7,66,136,84,174,75,71,16,21,261,190,139,452,207,6,448,216,78,1457,1456,926,216,13,0,35,525,115,156,674,251,1117,824,321,498,136,0,11,318,770,2323.466002747253,20915.87989080983,10.531062874251496,0.12623809523809523,15735.0,254707.77777777778,508.2799999999999,7471.666666666667,66055.0,3485.0,3735.0,3212.1666666666665,125593.63636363637,3142.909090909091,5599.833333333333,2806.9166666666665,3764.0,16438.333333333332,13626.5,17382.5,23307.5,14167.727272727272,586.6850000000001,3098.266666666667,1476.5166666666667,19952.916666666668,74501.66666666667,15254.166666666666,258480.9090909091,505.02500000000003,7519.083333333333,66920.0,3407.0,3907.4166666666665,3202.8333333333335,126680.0,3095.9166666666665,5752.166666666667,2877.5833333333335,3712.0,16506.81818181818,13500.416666666666,17303.0,23099.166666666668,14037.5,598.1624999999999,3093.0,1609.8333333333333,19832.083333333332,75255.0,16135.0,265135.45454545453,506.0285714285715,7832.333333333333,70447.5,3674.3333333333335,3954.0,3668.75,134558.33333333334,3562.3333333333335,5897.833333333333,2801.4545454545455,3930.8333333333335,17070.416666666668,14255.0,19429.5,24790.416666666668,15333.333333333334,599.7775,3165.0625,2184.5166666666664,20559.166666666668,78918.33333333333,16063.0,266730.0,540.6866666666666,7718.916666666667,69192.0,3717.6666666666665,4080.0,3599.8333333333335,134998.33333333334,3507.0,5754.0,3032.9166666666665,3971.5,16981.25,14280.416666666666,18805.0,24904.166666666668,14832.5,599.4925000000001,3290.6,1704.2166666666665,20675.416666666668,77385.83333333333
37,2024-09-23 to 2024-09-29,78,46,125,3,58,134,74,135,59,823,10,13,295,210,171,342,221,20,1309,154,92,2201,2171,1003,160,72,25,37,1154,402,198,842,476,2424,870,473,440,140,0,20,316,831,1827.7302059496567,19827.650385604113,10.20671834625323,0.540299823633157,15254.166666666666,258480.9090909091,505.02500000000003,7519.083333333333,66920.0,3407.0,3907.4166666666665,3202.8333333333335,126680.0,3095.9166666666665,5752.166666666667,2877.5833333333335,3712.0,16506.81818181818,13500.416666666666,17303.0,23099.166666666668,14037.5,598.1624999999999,3093.0,1609.8333333333333,19832.083333333332,75255.0,16135.0,265135.45454545453,506.0285714285715,7832.333333333333,70447.5,3674.3333333333335,3954.0,3668.75,134558.33333333334,3562.3333333333335,5897.833333333333,2801.4545454545455,3930.8333333333335,17070.416666666668,14255.0,19429.5,24790.416666666668,15333.333333333334,599.7775,3165.0625,2184.5166666666664,20559.166666666668,78918.33333333333,16063.0,266730.0,540.6866666666666,7718.916666666667,69192.0,3717.6666666666665,4080.0,3599.8333333333335,134998.33333333334,3507.0,5754.0,3032.9166666666665,3971.5,16981.25,14280.416666666666,18805.0,24904.166666666668,14832.5,599.4925000000001,3290.6,1704.2166666666665,20675.416666666668,77385.83333333333,15759.444444444445,266748.0,539.7923076923078,7827.75,68864.0,3787.0,4048.3,3628.75,136034.16666666666,3522.6666666666665,5897.0,3035.9166666666665,4157.545454545455,16772.727272727272,14370.833333333334,18064.5,24942.083333333332,14436.818181818182,605.8299999999999,3348.214285714286,1971.1000000000001,20924.166666666668,77601.66666666667
38,2024-09-30 to 2024-10-06,74,51,145,3,96,159,71,124,52,108,12,37,244,166,190,30,159,16,513,162,64,1227,1249,853,119,22,2,15,417,137,196,495,218,1172,542,268,339,144,0,18,221,687,2540.284963621665,21611.032397408206,10.750595783684693,0.43714285714285717,16135.0,265135.45454545453,506.0285714285715,7832.333333333333,70447.5,3674.3333333333335,3954.0,3668.75,134558.33333333334,3562.3333333333335,5897.833333333333,2801.4545454545455,3930.8333333333335,17070.416666666668,14255.0,19429.5,24790.416666666668,15333.333333333334,599.7775,3165.0625,2184.5166666666664,20559.166666666668,78918.33333333333,16063.0,266730.0,540.6866666666666,7718.916666666667,69192.0,3717.6666666666665,4080.0,3599.8333333333335,134998.33333333334,3507.0,5754.0,3032.9166666666665,3971.5,16981.25,14280.416666666666,18805.0,24904.166666666668,14832.5,599.4925000000001,3290.6,1704.2166666666665,20675.416666666668,77385.83333333333,15759.444444444445,266748.0,539.7923076923078,7827.75,68864.0,3787.0,4048.3,3628.75,136034.16666666666,3522.6666666666665,5897.0,3035.9166666666665,4157.545454545455,16772.727272727272,14370.833333333334,18064.5,24942.083333333332,14436.818181818182,605.8299999999999,3348.214285714286,1971.1000000000001,20924.166666666668,77601.66666666667,15121.818181818182,257578.88888888888,516.5749999999999,8391.75,69145.0,3645.0,3854.1666666666665,3538.5833333333335,132886.66666666666,3400.1666666666665,5887.090909090909,2950.6666666666665,4308.583333333333,16884.5,14322.916666666666,18170.5,25029.166666666668,14509.583333333334,628.9775,3243.0,2278.4666666666667,20967.5,77852.5
39,2024-10-07 to 2024-10-13,88,42,114,8,73,134,75,146,54,0,7,33,182,195,146,67,146,21,408,148,90,1076,1101,849,60,3,0,17,282,123,200,492,151,893,618,236,256,156,0,7,192,727,2825.575562700965,21633.2343412527,11.012634671890304,0.517408274785324,16063.0,266730.0,540.6866666666666,7718.916666666667,69192.0,3717.6666666666665,4080.0,3599.8333333333335,134998.33333333334,3507.0,5754.0,3032.9166666666665,3971.5,16981.25,14280.416666666666,18805.0,24904.166666666668,14832.5,599.4925000000001,3290.6,1704.2166666666665,20675.416666666668,77385.83333333333,15759.444444444445,266748.0,539.7923076923078,7827.75,68864.0,3787.0,4048.3,3628.75,136034.16666666666,3522.6666666666665,5897.0,3035.9166666666665,4157.545454545455,16772.727272727272,14370.833333333334,18064.5,24942.083333333332,14436.818181818182,605.8299999999999,3348.214285714286,1971.1000000000001,20924.166666666668,77601.66666666667,15121.818181818182,257578.88888888888,516.5749999999999,8391.75,69145.0,3645.0,3854.1666666666665,3538.5833333333335,132886.66666666666,3400.1666666666665,5887.090909090909,2950.6666666666665,4308.583333333333,16884.5,14322.916666666666,18170.5,25029.166666666668,14509.583333333334,628.9775,3243.0,2278.4666666666667,20967.5,77852.5,14582.727272727272,256938.33333333334,513.9823529411765,8025.666666666667,67975.0,3687.0,3940.1666666666665,3575.0833333333335,125927.5,3433.8333333333335,5855.666666666667,3011.6153846153848,4387.333333333333,16915.0,14062.916666666666,17805.0,24392.083333333332,14341.25,632.9325,3305.125,2199.0285714285715,20816.25,76622.5
40,2024-10-14 to 2024-10-20,46,55,113,8,64,178,84,115,65,0,9,48,239,195,123,373,159,24,406,134,81,1248,1271,927,101,5,14,36,397,124,220,464,228,979,768,301,318,131,0,12,293,838,2618.0246422893483,20826.74365704287,11.23733660130719,0.6293434343434343,15759.444444444445,266748.0,539.7923076923078,7827.75,68864.0,3787.0,4048.3,3628.75,136034.16666666666,3522.6666666666665,5897.0,3035.9166666666665,4157.545454545455,16772.727272727272,14370.833333333334,18064.5,24942.083333333332,14436.818181818182,605.8299999999999,3348.214285714286,1971.1000000000001,20924.166666666668,77601.66666666667,15121.818181818182,257578.88888888888,516.5749999999999,8391.75,69145.0,3645.0,3854.1666666666665,3538.5833333333335,132886.66666666666,3400.1666666666665,5887.090909090909,2950.6666666666665,4308.583333333333,16884.5,14322.916666666666,18170.5,25029.166666666668,14509.583333333334,628.9775,3243.0,2278.4666666666667,20967.5,77852.5,14582.727272727272,256938.33333333334,513.9823529411765,8025.666666666667,67975.0,3687.0,3940.1666666666665,3575.0833333333335,125927.5,3433.8333333333335,5855.666666666667,3011.6153846153848,4387.333333333333,16915.0,14062.916666666666,17805.0,24392.083333333332,14341.25,632.9325,3305.125,2199.0285714285715,20816.25,76622.5,14352.5,263420.8333333333,519.6750000000001,8064.166666666667,68536.66666666667,3690.0,3912.7,3593.0,126634.16666666667,3462.4166666666665,5847.454545454545,2942.25,4249.916666666667,16942.083333333332,14055.0,17670.0,24668.75,14236.363636363636,628.9125,3304.866666666667,2245.8166666666666,20843.333333333332,77504.16666666667
41,2024-10-21 to 2024-10-27,72,53,118,7,55,112,87,121,71,624,17,67,193,200,122,391,148,23,1079,152,63,1876,1899,931,142,92,9,45,952,270,230,668,428,1911,932,451,326,131,2,5,332,856,1966.30023891691,19689.502928870294,10.721571648690293,0.5993861607142857,15121.818181818182,257578.88888888888,516.5749999999999,8391.75,69145.0,3645.0,3854.1666666666665,3538.5833333333335,132886.66666666666,3400.1666666666665,5887.090909090909,2950.6666666666665,4308.583333333333,16884.5,14322.916666666666,18170.5,25029.166666666668,14509.583333333334,628.9775,3243.0,2278.4666666666667,20967.5,77852.5,14582.727272727272,256938.33333333334,513.9823529411765,8025.666666666667,67975.0,3687.0,3940.1666666666665,3575.0833333333335,125927.5,3433.8333333333335,5855.666666666667,3011.6153846153848,4387.333333333333,16915.0,14062.916666666666,17805.0,24392.083333333332,14341.25,632.9325,3305.125,2199.0285714285715,20816.25,76622.5,14352.5,263420.8333333333,519.6750000000001,8064.166666666667,68536.66666666667,3690.0,3912.7,3593.0,126634.16666666667,3462.4166666666665,5847.454545454545,2942.25,4249.916666666667,16942.083333333332,14055.0,17670.0,24668.75,14236.363636363636,628.9125,3304.866666666667,2245.8166666666666,20843.333333333332,77504.16666666667,14047.5,261497.0,517.909090909091,7854.5,67905.0,3553.0,3919.0,3533.5833333333335,129740.0,3382.6666666666665,5805.5,3025.0,4486.166666666667,17013.75,13951.666666666666,18268.0,24525.833333333332,14690.90909090909,620.22,3395.6428571428573,2264.433333333333,21280.833333333332,76730.0
42,2024-10-28 to 2024-11-03,79,46,86,4,50,181,82,100,43,376,10,33,127,208,88,169,157,6,648,115,69,1319,1358,724,125,50,10,20,634,123,170,555,261,1391,643,286,232,109,0,5,174,620,2212.4049401197603,22754.886107634542,10.852812202097235,0.41590909090909095,14582.727272727272,256938.33333333334,513.9823529411765,8025.666666666667,67975.0,3687.0,3940.1666666666665,3575.0833333333335,125927.5,3433.8333333333335,5855.666666666667,3011.6153846153848,4387.333333333333,16915.0,14062.916666666666,17805.0,24392.083333333332,14341.25,632.9325,3305.125,2199.0285714285715,20816.25,76622.5,14352.5,263420.8333333333,519.6750000000001,8064.166666666667,68536.66666666667,3690.0,3912.7,3593.0,126634.16666666667,3462.4166666666665,5847.454545454545,2942.25,4249.916666666667,16942.083333333332,14055.0,17670.0,24668.75,14236.363636363636,628.9125,3304.866666666667,2245.8166666666666,20843.333333333332,77504.16666666667,14047.5,261497.0,517.909090909091,7854.5,67905.0,3553.0,3919.0,3533.5833333333335,129740.0,3382.6666666666665,5805.5,3025.0,4486.166666666667,17013.75,13951.666666666666,18268.0,24525.833333333332,14690.90909090909,620.22,3395.6428571428573,2264.433333333333,21280.833333333332,76730.0,13400.833333333334,243032.0,508.3454545454546,7729.583333333333,65323.333333333336,3579.0,3827.6,3508.0,126576.36363636363,3340.0,5938.363636363636,2919.5833333333335,4340.083333333333,16809.090909090908,13772.916666666666,17624.0,24006.666666666668,14006.0,606.0350000000001,3333.4615384615386,2380.0333333333333,20527.916666666668,74052.5
43,2024-11-04 to 2024-11-10,67,36,134,4,67,134,80,116,36,0,11,48,249,276,209,0,193,21,416,151,67,1146,1169,820,149,44,22,16,262,99,178,570,151,1026,591,234,350,103,0,14,234,675,2634.1821722198183,21809.74647887324,10.849058295964126,0.49621598639455783,14352.5,263420.8333333333,519.6750000000001,8064.166666666667,68536.66666666667,3690.0,3912.7,3593.0,126634.16666666667,3462.4166666666665,5847.454545454545,2942.25,4249.916666666667,16942.083333333332,14055.0,17670.0,24668.75,14236.363636363636,628.9125,3304.866666666667,2245.8166666666666,20843.333333333332,77504.16666666667,14047.5,261497.0,517.909090909091,7854.5,67905.0,3553.0,3919.0,3533.5833333333335,129740.0,3382.6666666666665,5805.5,3025.0,4486.166666666667,17013.75,13951.666666666666,18268.0,24525.833333333332,14690.90909090909,620.22,3395.6428571428573,2264.433333333333,21280.833333333332,76730.0,13400.833333333334,243032.0,508.3454545454546,7729.583333333333,65323.333333333336,3579.0,3827.6,3508.0,126576.36363636363,3340.0,5938.363636363636,2919.5833333333335,4340.083333333333,16809.090909090908,13772.916666666666,17624.0,24006.666666666668,14006.0,606.0350000000001,3333.4615384615386,2380.0333333333333,20527.916666666668,74052.5,13016.875,243232.5,526.6583333333334,7702.166666666667,65763.33333333333,3598.0,3946.3333333333335,3502.2727272727275,128676.66666666667,3355.5,5872.0,3046.6666666666665,4421.166666666667,17228.333333333332,13634.545454545454,17682.5,24468.75,14227.777777777777,622.3075000000001,3423.6153846153848,2251.9166666666665,20655.833333333332,74347.5
44,2024-11-11 to 2024-11-17,73,66,181,4,57,124,72,152,54,0,13,50,260,263,269,205,164,8,550,120,72,1378,1379,947,155,56,50,16,328,139,162,677,214,1101,712,283,516,121,0,19,285,759,2451.978498542274,19372.295390404517,10.393768996960487,0.4460282574568289,14047.5,261497.0,517.909090909091,7854.5,67905.0,3553.0,3919.0,3533.5833333333335,129740.0,3382.6666666666665,5805.5,3025.0,4486.166666666667,17013.75,13951.666666666666,18268.0,24525.833333333332,14690.90909090909,620.22,3395.6428571428573,2264.433333333333,21280.833333333332,76730.0,13400.833333333334,243032.0,508.3454545454546,7729.583333333333,65323.333333333336,3579.0,3827.6,3508.0,126576.36363636363,3340.0,5938.363636363636,2919.5833333333335,4340.083333333333,16809.090909090908,13772.916666666666,17624.0,24006.666666666668,14006.0,606.0350000000001,3333.4615384615386,2380.0333333333333,20527.916666666668,74052.5,13016.875,243232.5,526.6583333333334,7702.166666666667,65763.33333333333,3598.0,3946.3333333333335,3502.2727272727275,128676.66666666667,3355.5,5872.0,3046.6666666666665,4421.166666666667,17228.333333333332,13634.545454545454,17682.5,24468.75,14227.777777777777,622.3075000000001,3423.6153846153848,2251.9166666666665,20655.833333333332,74347.5,13610.0,242317.0,518.4545454545455,7639.416666666667,65056.666666666664,3664.5,3828.2727272727275,3549.5454545454545,127040.90909090909,3395.4166666666665,5940.909090909091,3052.0833333333335,4416.083333333333,17582.272727272728,13381.25,18266.0,25118.333333333332,14947.727272727272,616.4649999999999,3472.5,2341.266666666667,20458.75,73912.5
45,2024-11-18 to 2024-11-24,78,52,243,8,60,154,68,143,64,225,4,65,236,282,279,420,212,11,693,133,67,1736,1761,1074,200,75,51,31,660,177,195,680,340,1365,892,364,654,184,0,13,409,834,2358.6063738156763,18996.255573248407,10.310240963855422,0.5329059829059829,13400.833333333334,243032.0,508.3454545454546,7729.583333333333,65323.333333333336,3579.0,3827.6,3508.0,126576.36363636363,3340.0,5938.363636363636,2919.5833333333335,4340.083333333333,16809.090909090908,13772.916666666666,17624.0,24006.666666666668,14006.0,606.0350000000001,3333.4615384615386,2380.0333333333333,20527.916666666668,74052.5,13016.875,243232.5,526.6583333333334,7702.166666666667,65763.33333333333,3598.0,3946.3333333333335,3502.2727272727275,128676.66666666667,3355.5,5872.0,3046.6666666666665,4421.166666666667,17228.333333333332,13634.545454545454,17682.5,24468.75,14227.777777777777,622.3075000000001,3423.6153846153848,2251.9166666666665,20655.833333333332,74347.5,13610.0,242317.0,518.4545454545455,7639.416666666667,65056.666666666664,3664.5,3828.2727272727275,3549.5454545454545,127040.90909090909,3395.4166666666665,5940.909090909091,3052.0833333333335,4416.083333333333,17582.272727272728,13381.25,18266.0,25118.333333333332,14947.727272727272,616.4649999999999,3472.5,2341.266666666667,20458.75,73912.5,13507.222222222223,244878.75,517.3875,7836.833333333333,66166.66666666667,3594.6666666666665,3757.0,3483.5,128391.66666666667,3323.6666666666665,5863.8,2943.3333333333335,4209.333333333333,17619.166666666668,13315.416666666666,18754.5,25217.916666666668,15397.5,621.8725000000001,3486.6,2103.1833333333334,20417.916666666668,74865.83333333333
46,2024-11-25 to 2024-12-01,75,48,158,6,50,142,56,140,56,776,13,43,237,290,245,375,163,18,1305,152,83,2190,2241,1004,215,153,26,24,1271,290,210,735,498,2327,981,376,559,162,0,13,341,809,1899.7284229552643,19586.857265692175,10.540773067331672,0.4712018140589569,13016.875,243232.5,526.6583333333334,7702.166666666667,65763.33333333333,3598.0,3946.3333333333335,3502.2727272727275,128676.66666666667,3355.5,5872.0,3046.6666666666665,4421.166666666667,17228.333333333332,13634.545454545454,17682.5,24468.75,14227.777777777777,622.3075000000001,3423.6153846153848,2251.9166666666665,20655.833333333332,74347.5,13610.0,242317.0,518.4545454545455,7639.416666666667,65056.666666666664,3664.5,3828.2727272727275,3549.5454545454545,127040.90909090909,3395.4166666666665,5940.909090909091,3052.0833333333335,4416.083333333333,17582.272727272728,13381.25,18266.0,25118.333333333332,14947.727272727272,616.4649999999999,3472.5,2341.266666666667,20458.75,73912.5,13507.222222222223,244878.75,517.3875,7836.833333333333,66166.66666666667,3594.6666666666665,3757.0,3483.5,128391.66666666667,3323.6666666666665,5863.8,2943.3333333333335,4209.333333333333,17619.166666666668,13315.416666666666,18754.5,25217.916666666668,15397.5,621.8725000000001,3486.6,2103.1833333333334,20417.916666666668,74865.83333333333,13687.272727272728,246384.0,532.7153846153847,7776.5,65750.0,3594.0,3869.7272727272725,3486.5833333333335,128024.16666666667,3357.4545454545455,5812.5,3098.6666666666665,4144.416666666667,17491.0,13274.545454545454,18530.0,25318.333333333332,15267.272727272728,622.5625,3506.4166666666665,2084.266666666667,20295.833333333332,74645.0
47,2024-12-02 to 2024-12-08,133,49,162,9,68,177,51,126,49,0,14,52,244,210,226,0,176,12,265,161,81,1125,1140,821,166,53,5,10,340,131,156,429,151,926,565,200,439,124,0,25,178,698,2480.4389920424405,19313.279689234183,10.579076620825147,0.5658134920634921,13610.0,242317.0,518.4545454545455,7639.416666666667,65056.666666666664,3664.5,3828.2727272727275,3549.5454545454545,127040.90909090909,3395.4166666666665,5940.909090909091,3052.0833333333335,4416.083333333333,17582.272727272728,13381.25,18266.0,25118.333333333332,14947.727272727272,616.4649999999999,3472.5,2341.266666666667,20458.75,73912.5,13507.222222222223,244878.75,517.3875,7836.833333333333,66166.66666666667,3594.6666666666665,3757.0,3483.5,128391.66666666667,3323.6666666666665,5863.8,2943.3333333333335,4209.333333333333,17619.166666666668,13315.416666666666,18754.5,25217.916666666668,15397.5,621.8725000000001,3486.6,2103.1833333333334,20417.916666666668,74865.83333333333,13687.272727272728,246384.0,532.7153846153847,7776.5,65750.0,3594.0,3869.7272727272725,3486.5833333333335,128024.16666666667,3357.4545454545455,5812.5,3098.6666666666665,4144.416666666667,17491.0,13274.545454545454,18530.0,25318.333333333332,15267.272727272728,622.5625,3506.4166666666665,2084.266666666667,20295.833333333332,74645.0,13548.888888888889,245258.88888888888,529.93,7632.333333333333,65660.0,3563.0,3879.4545454545455,3425.8,126625.83333333333,3292.75,5815.333333333333,3115.75,3933.5,17538.75,13390.833333333334,17568.0,24723.75,14508.181818181818,622.9399999999999,3484.75,2064.983333333333,20042.916666666668,74322.5
48,2024-12-09 to 2024-12-15,161,50,180,6,82,140,64,151,60,0,10,36,211,211,282,179,201,11,503,175,58,1365,1406,896,242,82,6,18,429,148,185,583,180,1071,640,263,607,175,0,12,250,846,2413.563019140484,20390.96409335727,10.88034118602762,0.6762735326688816,13507.222222222223,244878.75,517.3875,7836.833333333333,66166.66666666667,3594.6666666666665,3757.0,3483.5,128391.66666666667,3323.6666666666665,5863.8,2943.3333333333335,4209.333333333333,17619.166666666668,13315.416666666666,18754.5,25217.916666666668,15397.5,621.8725000000001,3486.6,2103.1833333333334,20417.916666666668,74865.83333333333,13687.272727272728,246384.0,532.7153846153847,7776.5,65750.0,3594.0,3869.7272727272725,3486.5833333333335,128024.16666666667,3357.4545454545455,5812.5,3098.6666666666665,4144.416666666667,17491.0,13274.545454545454,18530.0,25318.333333333332,15267.272727272728,622.5625,3506.4166666666665,2084.266666666667,20295.833333333332,74645.0,13548.888888888889,245258.88888888888,529.93,7632.333333333333,65660.0,3563.0,3879.4545454545455,3425.8,126625.83333333333,3292.75,5815.333333333333,3115.75,3933.5,17538.75,13390.833333333334,17568.0,24723.75,14508.181818181818,622.9399999999999,3484.75,2064.983333333333,20042.916666666668,74322.5,,,,,,,,,,,,,,,,,,,,,,,
49,2024-12-16 to 2024-12-22,166,65,179,9,64,175,64,123,61,163,10,63,222,202,220,374,245,15,651,193,73,1672,1665,1022,223,52,35,31,598,185,189,696,299,1439,775,383,564,154,0,6,331,861,2214.1204204204205,18721.59933222037,10.771364653243847,0.5933181510151954,13687.272727272728,246384.0,532.7153846153847,7776.5,65750.0,3594.0,3869.7272727272725,3486.5833333333335,128024.16666666667,3357.4545454545455,5812.5,3098.6666666666665,4144.416666666667,17491.0,13274.545454545454,18530.0,25318.333333333332,15267.272727272728,622.5625,3506.4166666666665,2084.266666666667,20295.833333333332,74645.0,13548.888888888889,245258.88888888888,529.93,7632.333333333333,65660.0,3563.0,3879.4545454545455,3425.8,126625.83333333333,3292.75,5815.333333333333,3115.75,3933.5,17538.75,13390.833333333334,17568.0,24723.75,14508.181818181818,622.9399999999999,3484.75,2064.983333333333,20042.916666666668,74322.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2024-12-23 to 2024-12-29,150,54,145,9,56,109,50,111,45,742,8,30,181,160,228,385,169,14,1458,199,85,2182,2206,976,251,52,11,20,1390,375,202,750,358,2358,771,556,518,165,0,13,321,866,1879.8285062713796,20184.67387687188,10.970713760117734,0.37278325123152706,13548.888888888889,245258.88888888888,529.93,7632.333333333333,65660.0,3563.0,3879.4545454545455,3425.8,126625.83333333333,3292.75,5815.333333333333,3115.75,3933.5,17538.75,13390.833333333334,17568.0,24723.75,14508.181818181818,622.9399999999999,3484.75,2064.983333333333,20042.916666666668,74322.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
