AIS_Type,Description,Group1,ais_group
0,Not available (default),Unknown,Unknown
1,Reserved for future use,Reserved,Reserved
2,Reserved for future use,Reserved,Reserved
3,Reserved for future use,Reserved,Reserved
4,Reserved for future use,Reserved,Reserved
5,Reserved for future use,Reserved,Reserved
6,Reserved for future use,Reserved,Reserved
7,Reserved for future use,Reserved,Reserved
8,Reserved for future use,Reserved,Reserved
9,Reserved for future use,Reserved,Reserved
10,Reserved for future use,Reserved,Reserved
11,Reserved for future use,Reserved,Reserved
12,Reserved for future use,Reserved,Reserved
13,Reserved for future use,Reserved,Reserved
14,Reserved for future use,Reserved,Reserved
15,Reserved for future use,Reserved,Reserved
16,Reserved for future use,Reserved,Reserved
17,Reserved for future use,Reserved,Reserved
18,Reserved for future use,Reserved,Reserved
19,Reserved for future use,Reserved,Reserved
20,Wing in ground (WIG), all ships of this type,WIG
21,Wing in ground (WIG), Hazardous category A,WIG
22,Wing in ground (WIG), Hazardous category B,WIG
23,Wing in ground (WIG), Hazardous category C,WIG
24,Wing in ground (WIG), Hazardous category D,WIG
25,Wing in ground (WIG), Reserved for future use,Reserved
26,Wing in ground (WIG), Reserved for future use,Reserved
27,Wing in ground (WIG), Reserved for future use,Reserved
28,Wing in ground (WIG), Reserved for future use,Reserved
29,Wing in ground (WIG), Reserved for future use,Reserved
30,Fishing,Special Purpose,Special Purpose
31,Towing,Special Purpose,Special Purpose
32,Towing: length exceeds 200m or breadth exceeds 25m,Special Purpose,Special Purpose
33,Dredging or underwater ops,Special Purpose,Special Purpose
34,Diving ops,Special Purpose,Special Purpose
35,Military ops,Special Purpose,Special Purpose
36,Sailing,Special Purpose,Special Purpose
37,Pleasure Craft,Special Purpose,Special Purpose
38,Reserved,Reserved,Reserved
39,Reserved,Reserved,Reserved
40,High speed craft (HSC), all ships of this type,High Speed Craft
41,High speed craft (HSC), Hazardous category A,High Speed Craft
42,High speed craft (HSC), Hazardous category B,High Speed Craft
43,High speed craft (HSC), Hazardous category C,High Speed Craft
44,High speed craft (HSC), Hazardous category D,High Speed Craft
45,High speed craft (HSC), Reserved for future use,Reserved
46,High speed craft (HSC), Reserved for future use,Reserved
47,High speed craft (HSC), Reserved for future use,Reserved
48,High speed craft (HSC), Reserved for future use,Reserved
49,High speed craft (HSC), No additional information,High Speed Craft
50,Pilot Vessel,Support Vessels,Support Vessels
51,Search and Rescue vessel,Support Vessels,Support Vessels
52,Tug,Support Vessels,Support Vessels
53,Port Tender,Support Vessels,Support Vessels
54,Anti-pollution equipment,Support Vessels,Support Vessels
55,Law Enforcement,Support Vessels,Support Vessels
56,Spare - Local Vessel,Support Vessels,Support Vessels
57,Spare - Local Vessel,Support Vessels,Support Vessels
58,Medical Transport,Support Vessels,Support Vessels
59,Noncombatant ship according to RR Resolution No. 18,Support Vessels,Support Vessels
60,Passenger, all ships of this type,Passenger
61,Passenger, Hazardous category A,Passenger
62,Passenger, Hazardous category B,Passenger
63,Passenger, Hazardous category C,Passenger
64,Passenger, Hazardous category D,Passenger
65,Passenger, Reserved for future use,Reserved
66,Passenger, Reserved for future use,Reserved
67,Passenger, Reserved for future use,Reserved
68,Passenger, Reserved for future use,Reserved
69,Passenger, No additional information,Passenger
70,Cargo, all ships of this type,Cargo and Tanker
71,Cargo, Hazardous category A,Cargo and Tanker
72,Cargo, Hazardous category B,Cargo and Tanker
73,Cargo, Hazardous category C,Cargo and Tanker
74,Cargo, Hazardous category D,Cargo and Tanker
75,Cargo, Reserved for future use,Reserved
76,Cargo, Reserved for future use,Reserved
77,Cargo, Reserved for future use,Reserved
78,Cargo, Reserved for future use,Reserved
79,Cargo, No additional information,Cargo and Tanker
80,Tanker, all ships of this type,Cargo and Tanker
81,Tanker, Hazardous category A,Cargo and Tanker
82,Tanker, Hazardous category B,Cargo and Tanker
83,Tanker, Hazardous category C,Cargo and Tanker
84,Tanker, Hazardous category D,Cargo and Tanker
85,Tanker, Reserved for future use,Reserved
86,Tanker, Reserved for future use,Reserved
87,Tanker, Reserved for future use,Reserved
88,Tanker, Reserved for future use,Reserved
89,Tanker, No additional information,Cargo and Tanker
90,Other Type, all ships of this type,Other
91,Other Type, Hazardous category A,Other
92,Other Type, Hazardous category B,Other
93,Other Type, Hazardous category C,Other
94,Other Type, Hazardous category D,Other
95,Other Type, Reserved for future use,Reserved
96,Other Type, Reserved for future use,Reserved
97,Other Type, Reserved for future use,Reserved
98,Other Type, Reserved for future use,Reserved
99,Other Type, no additional information,Other