port_name,country_name
TOAMASINA,Madagascar
DURBAN,South Africa
RICHARDS BAY,South Africa
CAPE TOWN,South Africa
PORT ELIZABETH,South Africa
EAST LONDON,South Africa
SALDANHA,South Africa
COEGA,South Africa
WALVIS BAY,Namibia
BEIRA,Mozambique
MAPUTO,Mozambique
DJIBOUTI,Djibouti
PORT SAID,Egypt
MOMBASA,Kenya
CASABLANCA,Morocco
LOME,Togo
ABIDJAN,C̫te dIvoire
TEMA,Ghana
DAKAR,Senegal
DOUALA,Cameroon
GENTIL,Gabon
CONAKRY,Guinea
POINTE NOIRE,Republic of the Congo
MATADI,Democratic Republic of the Congo
MONROVIA,Liberia
COTONOU,Benin
DAR ES SALAAM,Tanzania
BERBERA,Somalia
